ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
108,3.00E-05,0.5794954623,0.06696265281,1.79E-09,20086.59981,7.88E-08,1.37E-09,2.15E-18,7.80E-07,41.24867393,19.89834944
109,8.34E-05,0.50675933,0.02573436803,1.51E-09,29494.4424,4.73E-08,2.01E-09,3.66E-18,5.09E-07,86.16414361,64.81381912
110,8.36E-05,0.5617003957,0.01747622425,4.57E-09,44312.38954,2.13E-07,3.38E-10,1.72E-18,3.26E-07,82.27050038,60.92017588
111,7.21E-05,0.6945205845,0.02466343464,3.52E-09,46438.47267,1.02E-07,1.25E-09,2.22E-18,6.02E-07,65.75175958,44.40143508
112,3.04E-05,0.6638465998,0.02105167555,2.82E-09,23314.53272,3.05E-07,1.48E-09,2.18E-18,8.44E-07,33.93761141,12.58728692
113,1.21E-05,0.5642355096,0.07765429939,4.24E-09,39367.19075,2.38E-07,1.23E-09,2.73E-18,6.84E-07,21.75445005,0.4041255512
114,9.68E-05,0.539567007,0.04639073852,7.87E-10,30753.93535,3.64E-07,4.83E-10,1.27E-18,3.81E-07,125.8607058,104.5103813
115,5.50E-05,0.5650821937,0.03455528732,2.13E-09,46906.26152,1.77E-07,4.97E-10,2.77E-18,9.83E-07,59.74948193,38.39915744
116,5.30E-05,0.7676581388,0.02732280773,6.04E-10,17407.41433,1.82E-07,2.17E-09,1.10E-18,5.51E-07,85.7871363,64.4368118
117,1.17E-05,0.6793357366,0.02868919432,2.61E-09,38157.88961,6.04E-08,2.56E-09,1.09E-18,5.13E-07,28.3257594,6.975434909
118,2.50E-05,0.5856610829,0.07300682474,1.38E-09,45169.1531,2.33E-07,5.31E-10,1.47E-18,3.73E-07,41.70953759,20.35921309
119,5.81E-05,0.8535267433,0.01253017958,4.10E-09,28097.87985,3.28E-07,2.38E-09,1.65E-18,7.75E-07,54.64902875,33.29870425
120,3.27E-05,0.5925004375,0.01884026684,7.60E-10,6189.998666,1.50E-07,6.99E-10,2.49E-18,4.05E-07,63.75460439,42.40427989
121,4.34E-05,0.834326648,0.03747473051,2.88E-09,14273.7597,3.74E-07,7.99E-10,1.80E-18,2.85E-07,37.47958929,16.1292648
122,9.96E-05,0.6940132281,0.02559339032,7.29E-10,6429.046277,1.18E-07,5.09E-10,2.10E-18,7.15E-07,109.0390215,87.68869705
123,5.77E-05,0.903658636,0.03390688679,4.45E-09,6660.871901,7.24E-08,3.68E-10,1.81E-18,9.14E-07,46.12473103,24.77440654
124,4.47E-05,0.813802225,0.06347637024,3.53E-09,15828.4093,3.86E-07,1.04E-09,1.79E-18,5.53E-07,33.63817919,12.28785469
125,4.89E-05,0.8262065757,0.04437668773,3.32E-09,32839.45473,2.76E-07,1.16E-09,3.01E-18,4.11E-07,39.65598023,18.30565574
126,7.08E-05,0.6896756046,0.06112317303,3.44E-09,43821.77209,2.40E-08,3.03E-10,3.61E-18,4.00E-07,53.56948502,32.21916053
127,9.10E-05,0.6718647268,0.04163239432,3.80E-09,48887.63133,9.01E-09,1.96E-09,1.99E-18,3.52E-07,69.90444577,48.55412127
