%eval_id interface dGrainHBS FaceCovMax SwellLink vResol DatomFissGBx fNucleate aAtomDifFiss FD1 fuel_swelling1 FD2 fuel_swelling2 FD3 fuel_swelling3
0 89 4.588E-05 0.864 2.539E-02 1.779E-18 3.495E+04 6.910E-10 5.533E-31 .2004480008009508E+22 8.398759985260179 .4008960016019010E+22 20.09336932768661 .6013440024028510E+22 42.44747746050408
0 90 4.031E-05 0.749 2.582E-02 1.958E-18 2.374E+04 5.402E-10 5.270E-31 .2004480008009508E+22 8.329258681905587 .4008960016019010E+22 19.80482265605785 .6013440024028510E+22 41.50180041806627
0 91 3.674E-05 0.838 3.042E-02 2.166E-18 3.132E+04 5.475E-10 4.578E-31 .2004480008009508E+22 8.283237828826168 .4008960016019010E+22 18.23069447164007 .6013440024028510E+22 36.02604472411005
0 92 3.530E-05 0.721 2.906E-02 2.231E-18 3.040E+04 7.131E-10 4.955E-31 .2004480008009508E+22 8.256675627926786 .4008960016019010E+22 18.86174624142208 .6013440024028510E+22 38.17922694048669
0 93 3.919E-05 0.728 2.416E-02 1.858E-18 3.249E+04 6.236E-10 5.389E-31 .2004480008009508E+22 8.376736974573882 .4008960016019010E+22 19.90371937430209 .6013440024028510E+22 41.60758557730015
0 94 3.796E-05 0.726 2.608E-02 2.157E-18 3.303E+04 6.070E-10 5.492E-31 .2004480008009508E+22 8.323510895947802 .4008960016019010E+22 19.52905533596313 .6013440024028510E+22 40.44379618593846
0 95 3.642E-05 0.842 2.142E-02 1.977E-18 2.639E+04 5.621E-10 4.808E-31 .2004480008009508E+22 8.309809995652742 .4008960016019010E+22 18.43344227899028 .6013440024028510E+22 36.70788029566014
0 96 4.252E-05 0.722 2.396E-02 2.142E-18 2.973E+04 6.721E-10 5.644E-31 .2004480008009508E+22 8.309348207268489 .4008960016019010E+22 20.48410368460430 .6013440024028510E+22 44.04335146063965
0 97 3.473E-05 0.688 2.697E-02 1.947E-18 3.429E+04 5.149E-10 5.677E-31 .2004480008009508E+22 8.399290195657244 .4008960016019010E+22 19.21892003676903 .6013440024028510E+22 38.94182549280034
0 98 4.170E-05 0.773 2.106E-02 1.911E-18 3.667E+04 6.293E-10 5.341E-31 .2004480008009508E+22 8.375436584225497 .4008960016019010E+22 20.13980707085498 .6013440024028510E+22 42.59966897281029
0 99 3.801E-05 0.748 2.517E-02 2.046E-18 3.519E+04 5.738E-10 5.367E-31 .2004480008009508E+22 8.353717550502147 .4008960016019010E+22 19.43948426859759 .6013440024028510E+22 40.03579333331871
0 100 4.375E-05 0.688 2.925E-02 2.156E-18 2.765E+04 6.095E-10 4.029E-31 .2004480008009508E+22 8.227950336507194 .4008960016019010E+22 20.64172018728021 .6013440024028510E+22 44.78643892866151
0 101 4.209E-05 0.608 2.394E-02 1.778E-18 3.318E+04 5.870E-10 5.538E-31 .2004480008009508E+22 8.413310459039899 .4008960016019010E+22 21.46553142426464 .6013440024028510E+22 47.03631059765326
0 102 4.206E-05 0.806 2.001E-02 1.943E-18 3.544E+04 5.653E-10 4.836E-31 .2004480008009508E+22 8.350220904464489 .4008960016019010E+22 19.95817995182142 .6013440024028510E+22 42.08346879600134
0 103 3.388E-05 0.783 2.865E-02 1.787E-18 3.386E+04 5.723E-10 5.680E-31 .2004480008009508E+22 8.422806433079067 .4008960016019010E+22 18.27529533481677 .6013440024028510E+22 35.56364282504272
0 104 3.103E-05 0.732 2.287E-02 1.514E-18 2.851E+04 5.936E-10 4.513E-31 .2004480008009508E+22 8.400205285369253 .4008960016019010E+22 18.19842820104950 .6013440024028510E+22 35.16334095582764
0 105 4.102E-05 0.880 2.059E-02 1.931E-18 3.271E+04 6.052E-10 5.336E-31 .2004480008009508E+22 8.362177271918299 .4008960016019010E+22 19.18689771581676 .6013440024028510E+22 39.34633414832450
