dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
2.38e-05,0.82377,0.038845,7.15e-18,2.0396e+05,9.63e-09,2.72e-30,31.454
3.99e-05,0.56206,0.035119,4.36e-18,19917,2.71e-08,3.8e-31,51.226
4.53e-05,0.7943,0.059177,3.68e-19,11617,5.2e-08,1.91e-31,42.716
2.59e-05,0.6779,0.019693,1.57e-17,61183,1.58e-09,3.57e-31,35.706
4.1e-05,0.62019,0.016432,9.6e-18,77398,1.03e-09,2.87e-30,52.018
4.04e-05,0.54524,0.040696,5.32e-18,10487,9.61e-10,1.23e-31,47.891
3.45e-05,0.67136,0.048086,2.84e-18,1.6385e+05,1.08e-08,4.15e-30,41.644
5.96e-05,0.72285,0.035724,3.72e-18,2.1129e+05,1.94e-08,2.02e-30,61.596
3.35e-05,0.90444,0.045152,5.6e-19,5575.5,2.09e-10,5.45e-32,32.125
2.61e-05,0.70027,0.060508,5.43e-18,4636.1,2.28e-09,5.31e-32,31.46
4.5e-05,0.68452,0.034394,1.07e-17,3690.9,2.31e-09,4.78e-31,48.925
5.8e-05,0.86579,0.052195,1.56e-18,5209.6,1.25e-09,6.83e-31,47.607
4.21e-05,0.78188,0.052323,2.35e-18,12080,5.21e-09,1.72e-30,41.104
3.88e-05,0.6852,0.029479,1.2e-17,6619.7,1.75e-10,1.12e-30,44.015
3e-05,0.80796,0.030358,9.3e-18,61701,4.72e-09,2.88e-31,36.491
5.63e-05,0.58908,0.02267,1.73e-17,2.4985e+05,3.24e-10,1.13e-31,66.341
2.64e-05,0.8791,0.02663,3.4e-18,5680.5,4.32e-08,4.43e-30,37.466
2.16e-05,0.524,0.032054,3.01e-18,29840,7.13e-09,2.41e-31,35.886
4.22e-05,0.81435,0.051326,4.34e-18,45995,4.46e-10,1.79e-31,39.47
2.85e-05,0.84436,0.039321,1.17e-18,39108,1.5e-10,8.59e-31,31.033
4.25e-05,0.54299,0.029317,1.06e-18,6233.4,6.75e-11,5.33e-32,53.231
3.54e-05,0.62651,0.034088,2.78e-19,93631,7.7e-09,1.06e-31,45.791
2.24e-05,0.56225,0.049341,2.23e-18,1.781e+05,1.21e-10,2.46e-31,31.397
5.04e-05,0.80126,0.028742,3.66e-19,22189,1.85e-10,2.45e-31,50.298
5.93e-05,0.59366,0.023073,4.78e-18,15914,2.13e-10,2.46e-30,68.926
4.25e-05,0.79103,0.062188,1.13e-18,10343,6.14e-10,3.42e-30,41.386
4.18e-05,0.89881,0.036961,1.4e-17,25375,3.37e-10,1.96e-31,38.988
5.12e-05,0.81691,0.062925,1.16e-18,32943,1.23e-09,1.95e-31,41.823
3.85e-05,0.89158,0.062465,4.19e-18,26049,8.23e-11,2.17e-30,34.16
3.68e-05,0.74887,0.039656,2.1e-19,2.5652e+05,8.11e-09,1.16e-31,42.732
4.46e-05,0.72809,0.053123,1.6e-18,11213,5.77e-08,2.36e-30,45.508
3.57e-05,0.83622,0.018639,4.16e-18,28835,1.19e-08,3.38e-31,44.414
2.83e-05,0.8782,0.064873,1.75e-17,1.9311e+05,1.73e-09,9.14e-31,29.923
5.7e-05,0.7585,0.036589,1.22e-17,1.2034e+05,1.85e-10,4.48e-30,55.695
4.72e-05,0.60181,0.054671,1.8e-18,23896,6.89e-09,1.49e-30,46.834
4.24e-05,0.52948,0.021341,4.56e-18,2.337e+05,4.29e-08,5.8e-32,59.731
5.14e-05,0.74859,0.05293,2.37e-19,2.2991e+05,1.56e-08,7.04e-31,51.391
3.27e-05,0.51504,0.030005,1.05e-17,9234.5,1.8e-10,2.3e-30,44.983
3.7e-05,0.71514,0.04482,8.77e-18,1.3529e+05,3e-09,8.12e-32,40.644
2.26e-05,0.73984,0.021661,4.38e-18,1.0349e+05,1.79e-09,3.92e-30,31.426
4.12e-05,0.57221,0.056813,6.7e-19,46496,1.96e-10,6.98e-32,45.226
4.44e-05,0.5982,0.058592,9.72e-18,95995,7.84e-10,1.77e-30,44.49
5.4e-05,0.83798,0.029374,7.92e-18,2.3981e+05,3.25e-09,1.1e-31,53.958
3.79e-05,0.68714,0.023661,6.56e-18,2.8527e+05,4.18e-09,2.07e-31,47.523
2.43e-05,0.84738,0.052509,2.95e-18,4495.5,6.99e-09,3.37e-30,30.237
5.07e-05,0.63293,0.042683,8.78e-19,5320.8,7.91e-10,3.79e-31,52.223
2e-05,0.80092,0.042362,3.97e-19,10227,1.24e-08,9.99e-32,29.149
5.77e-05,0.81335,0.01747,3.89e-19,25157,1.25e-09,6.89e-31,62.045
4.26e-05,0.63494,0.057636,9.55e-19,35790,1.27e-09,1.53e-31,42.886
3.97e-05,0.77457,0.057297,5.39e-18,1.8522e+05,4.82e-09,5.52e-31,38.903
2.33e-05,0.81144,0.026935,6.05e-18,11281,1.79e-08,6.84e-31,32.873
4.31e-05,0.90378,0.029838,1.49e-17,1.3397e+05,3.79e-09,5.08e-32,43.93
4.92e-05,0.76142,0.036908,3.34e-18,1.2476e+05,2.62e-09,1.74e-30,49.393
3.48e-05,0.68259,0.033433,2.78e-18,49414,2.42e-10,3.45e-30,40.994
3.65e-05,0.54957,0.044059,1.84e-17,22553,1.32e-10,2.01e-31,44.904
3.6e-05,0.79036,0.047191,1.93e-17,2.183e+05,9.22e-10,3.84e-30,37.007
3.28e-05,0.54352,0.018073,1.42e-17,13663,2.77e-08,8.89e-32,52.186
3.2e-05,0.56665,0.059384,9.17e-18,37371,2.23e-10,4.1e-30,38.212
