dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.05e-05,0.60725,0.059858,1.45e-17,5305.6,7.27e-09,6.22e-31,61.505
3.11e-05,0.66843,0.034943,8.73e-18,30749,2.25e-08,5.25e-32,71.399
4.85e-05,0.90555,0.021371,2.96e-18,34865,3.91e-08,7.43e-32,109.94
5.95e-05,0.71492,0.026264,4.72e-19,4231.2,4.44e-08,4.44e-31,157.75
5.22e-05,0.66103,0.023627,3.39e-18,18590,5.12e-08,2.15e-31,140.13
3.52e-05,0.63097,0.064704,1.58e-18,2.8693e+05,1.55e-08,7.06e-32,67.133
4.49e-05,0.72054,0.045284,1.58e-17,1.5526e+05,2.42e-08,4.81e-30,92.727
3.79e-05,0.88344,0.030499,1.17e-18,1.0589e+05,5.51e-08,5.18e-32,80.175
2.52e-05,0.87953,0.026705,3.96e-18,3506.8,7.11e-10,5.93e-31,40.418
5.7e-05,0.64236,0.018135,1.53e-18,47584,4.15e-08,4.95e-31,166.61
4.32e-05,0.58219,0.033668,3.05e-18,18983,4.39e-08,1.93e-31,112.89
2.96e-05,0.79141,0.038631,7.03e-18,6355.9,2.09e-09,5.28e-31,55.579
4.54e-05,0.61461,0.017946,3.91e-18,8774.4,1.88e-08,1.81e-30,134.31
4.18e-05,0.67026,0.015896,1.3e-18,4142.8,5.52e-10,1.43e-31,115.31
2.24e-05,0.62188,0.055441,1.27e-17,1.0514e+05,3.58e-08,2.22e-31,46.475
5.81e-05,0.769,0.020415,5.5e-18,33340,2.1e-08,2.85e-30,147.26
3.45e-05,0.70511,0.02864,1.95e-17,47205,2.35e-10,7.79e-32,77.154
5.53e-05,0.90014,0.037567,7.7e-18,79519,4.66e-10,4.49e-31,110.45
5.86e-05,0.63021,0.055072,1.47e-17,17011,5.57e-08,1.05e-31,106.54
2.84e-05,0.73858,0.041326,6.07e-18,1.8609e+05,4.84e-09,3.46e-31,56.103
5.6e-05,0.54048,0.047435,1.53e-18,89191,8.21e-09,2.4e-31,134.53
2.38e-05,0.82377,0.038845,7.15e-18,2.0396e+05,9.63e-09,2.72e-30,42.838
3.99e-05,0.56206,0.035119,4.36e-18,19917,2.71e-08,3.8e-31,105.29
4.53e-05,0.7943,0.059177,3.68e-19,11617,5.2e-08,1.91e-31,84.338
2.59e-05,0.6779,0.019693,1.57e-17,61183,1.58e-09,3.57e-31,59.273
4.1e-05,0.62019,0.016432,9.6e-18,77398,1.03e-09,2.87e-30,120.89
4.04e-05,0.54524,0.040696,5.32e-18,10487,9.61e-10,1.23e-31,105.85
5.96e-05,0.72285,0.035724,3.72e-18,2.1129e+05,1.94e-08,2.02e-30,137.65
3.35e-05,0.90444,0.045152,5.6e-19,5575.5,2.09e-10,5.45e-32,53.75
3.02e-05,0.71529,0.020127,1.18e-18,19688,1.83e-09,1.06e-31,69.935
2.61e-05,0.70027,0.060508,5.43e-18,4636.1,2.28e-09,5.31e-32,46.445
4.5e-05,0.68452,0.034394,1.07e-17,3690.9,2.31e-09,4.78e-31,107.3
5.8e-05,0.86579,0.052195,1.56e-18,5209.6,1.25e-09,6.83e-31,108.27
4.21e-05,0.78188,0.052323,2.35e-18,12080,5.21e-09,1.72e-30,80.826
3.88e-05,0.6852,0.029479,1.2e-17,6619.7,1.75e-10,1.12e-30,94.501
3e-05,0.80796,0.030358,9.3e-18,61701,4.72e-09,2.88e-31,58.985
5.63e-05,0.58908,0.02267,1.73e-17,2.4985e+05,3.24e-10,1.13e-31,164.62
2.64e-05,0.8791,0.02663,3.4e-18,5680.5,4.32e-08,4.43e-30,57.709
2.16e-05,0.524,0.032054,3.01e-18,29840,7.13e-09,2.41e-31,57.012
4.22e-05,0.81435,0.051326,4.34e-18,45995,4.46e-10,1.79e-31,78.098
4.25e-05,0.54299,0.029317,1.06e-18,6233.4,6.75e-11,5.33e-32,124.26
5.93e-05,0.59366,0.023073,4.78e-18,15914,2.13e-10,2.46e-30,173.81
4.18e-05,0.89881,0.036961,1.4e-17,25375,3.37e-10,1.96e-31,75.704
5.12e-05,0.81691,0.062925,1.16e-18,32943,1.23e-09,1.95e-31,93.033
4.46e-05,0.72809,0.053123,1.6e-18,11213,5.77e-08,2.36e-30,89.82
3.57e-05,0.83622,0.018639,4.16e-18,28835,1.19e-08,3.38e-31,79.615
2.83e-05,0.8782,0.064873,1.75e-17,1.9311e+05,1.73e-09,9.14e-31,41.288
5.7e-05,0.7585,0.036589,1.22e-17,1.2034e+05,1.85e-10,4.48e-30,133.13
4.72e-05,0.60181,0.054671,1.8e-18,23896,6.89e-09,1.49e-30,123.12
4.24e-05,0.52948,0.021341,4.56e-18,2.337e+05,4.29e-08,5.8e-32,132.11
3.7e-05,0.71514,0.04482,8.77e-18,1.3529e+05,3e-09,8.12e-32,75.339
4.44e-05,0.5982,0.058592,9.72e-18,95995,7.84e-10,1.77e-30,99.489
5.4e-05,0.83798,0.029374,7.92e-18,2.3981e+05,3.25e-09,1.1e-31,117.75
3.79e-05,0.68714,0.023661,6.56e-18,2.8527e+05,4.18e-09,2.07e-31,95.336
2e-05,0.80092,0.042362,3.97e-19,10227,1.24e-08,9.99e-32,39.921
4.26e-05,0.63494,0.057636,9.55e-19,35790,1.27e-09,1.53e-31,96.688
3.97e-05,0.77457,0.057297,5.39e-18,1.8522e+05,4.82e-09,5.52e-31,71.148
2.33e-05,0.81144,0.026935,6.05e-18,11281,1.79e-08,6.84e-31,46.09
4.31e-05,0.90378,0.029838,1.49e-17,1.3397e+05,3.79e-09,5.08e-32,83.331
4.92e-05,0.76142,0.036908,3.34e-18,1.2476e+05,2.62e-09,1.74e-30,112.87
3.65e-05,0.54957,0.044059,1.84e-17,22553,1.32e-10,2.01e-31,93.945
3.6e-05,0.79036,0.047191,1.93e-17,2.183e+05,9.22e-10,3.84e-30,68.412
3.28e-05,0.54352,0.018073,1.42e-17,13663,2.77e-08,8.89e-32,101.87
2.37e-05,0.50866,0.046336,3.12e-18,5194.3,3.32e-09,2e-31,58.726
4.5e-05,0.80402,0.041525,4.91e-18,16543,4.89e-08,7.27e-32,87.885
3.31e-05,0.85068,0.045785,1.6e-17,19408,2.45e-09,8.1e-31,57.358
4.95e-05,0.67071,0.019869,4.14e-18,84932,3.29e-09,1.78e-30,138.56
2.68e-05,0.68663,0.04416,4.64e-18,28159,1.14e-10,3.58e-31,51.182
2.99e-05,0.81762,0.043296,4.4e-18,9173.1,6.46e-09,1.49e-30,54.516
5.24e-05,0.70536,0.036006,1.89e-17,1.6495e+05,1.3e-09,2.63e-31,121.92
3.5e-05,0.60858,0.026088,7.89e-18,64941,2.55e-08,5.65e-31,95.394
2.12e-05,0.67221,0.036884,2.22e-18,94652,5.66e-09,6.12e-32,43.653
3.22e-05,0.78732,0.01754,1.88e-17,23598,9.54e-09,5.91e-31,73.804
4.86e-05,0.85846,0.030317,9.88e-19,3785.3,3.86e-08,3.73e-30,121.72
2.84e-05,0.53065,0.055965,1.43e-18,5615.2,2.36e-09,9.57e-32,65.455
3.23e-05,0.74412,0.060684,3.93e-18,16111,5.83e-08,2.31e-30,57.671
5.68e-05,0.71859,0.06188,1.85e-17,25184,2.04e-09,2.44e-30,102.94
5.89e-05,0.80652,0.023386,1.22e-17,2.6456e+05,6.08e-09,2.26e-31,138.48
2.34e-05,0.64774,0.022623,1.85e-18,51730,1.02e-08,5.79e-31,57.12
3.22e-05,0.87549,0.042193,5.89e-18,2.8569e+05,6.57e-11,6.81e-31,49.156
5.69e-05,0.68892,0.050393,1.64e-17,1.233e+05,6.29e-09,2.71e-30,113.39
5.1e-05,0.73421,0.032922,5.85e-18,8152.6,1.8e-09,6.1e-31,118.5
5.6e-05,0.63026,0.034659,1.1e-18,64228,3.77e-08,1.99e-30,162.91
3.81e-05,0.82919,0.062388,4.3e-18,26122,1.73e-10,3.24e-31,63.616
3.52e-05,0.56748,0.044623,3.44e-18,21730,8.91e-09,3.01e-31,84.001
3.67e-05,0.70012,0.029413,4.74e-18,9454.1,8.49e-11,2.61e-31,83.641
4.65e-05,0.50231,0.029657,2.61e-18,5214.9,1.02e-09,7.9e-31,139.62
3.15e-05,0.88212,0.025227,5.74e-18,4661,3.03e-08,1.64e-30,66.132
2.37e-05,0.60056,0.040135,2.79e-18,5929.4,2.03e-09,1.82e-31,53.26
2.91e-05,0.70722,0.052414,2.64e-18,8231.8,1.11e-09,8.15e-31,56.365
2.86e-05,0.50892,0.031868,5.19e-18,6626.8,3.66e-10,5.83e-32,79.033
2.36e-05,0.65993,0.062268,1.5e-17,1.0012e+05,1.62e-09,1.33e-30,43.908
5.43e-05,0.62941,0.031416,7.04e-18,6534.8,4.59e-08,3.35e-30,135.91
4.83e-05,0.82904,0.026572,1.17e-17,11976,1.76e-08,1.01e-30,109.48
4.9e-05,0.89302,0.036774,2.04e-18,2.2148e+05,1.13e-08,2.49e-31,98.104
2.15e-05,0.64787,0.043338,6.59e-18,19823,6.64e-09,6.05e-32,44.48
2.53e-05,0.84505,0.043854,9.98e-18,2.4401e+05,2.15e-09,2.51e-31,41.225
3.31e-05,0.78384,0.037854,1.13e-17,26387,1.77e-10,1.13e-30,62.96
4.41e-05,0.55064,0.055304,5.03e-18,2.916e+05,8.36e-09,3.15e-31,96.423
4.79e-05,0.61639,0.045738,1.67e-18,85536,1.05e-08,2.65e-31,112.19
2.27e-05,0.89523,0.027591,4.53e-18,4065.4,1.18e-09,7.83e-31,35.032
4.79e-05,0.63148,0.042756,1.28e-17,5728.2,1.51e-08,1.92e-31,106.92
4.09e-05,0.81862,0.023032,4.95e-19,62900,2.27e-09,6.4e-32,95.346
4.41e-05,0.83705,0.046116,1.3e-17,19235,5.66e-10,1.85e-30,83.797
5.76e-05,0.74509,0.047944,5.61e-18,11001,8.6e-09,5.63e-32,109.4
4.52e-05,0.82207,0.02681,3.51e-18,25656,3.57e-09,3.2e-30,103.71
5.32e-05,0.86919,0.063886,3.75e-18,2.9636e+05,2.4e-09,2.99e-31,86.005
2.82e-05,0.62704,0.026101,7.39e-18,33685,1.2e-09,1.31e-31,68.294
3.76e-05,0.66008,0.037662,9.01e-18,1.5176e+05,1.96e-08,2.96e-31,86.549
3.72e-05,0.53828,0.058643,6.01e-19,5885.9,1.7e-09,7.34e-32,93.616
2.51e-05,0.62153,0.057469,7.94e-18,26775,1.6e-09,1.65e-31,50.378
5.99e-05,0.65609,0.063123,1e-17,8286.5,5.88e-08,9.03e-32,95.38
3.37e-05,0.62454,0.050155,1.42e-17,1.3572e+05,4.13e-09,4.42e-30,74.039
5.4e-05,0.58346,0.04793,1.45e-17,2.5921e+05,1.57e-09,1.38e-31,123.63
3.72e-05,0.88789,0.036796,3.2e-18,97572,2.75e-09,4.2e-31,68.488
4.27e-05,0.80966,0.053911,5.22e-18,3078.1,1.33e-09,3.3e-31,76.347
