dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
5.63e-05,0.58908,0.02267,1.73e-17,2.4985e+05,3.24e-10,1.13e-31,79.5
2.64e-05,0.8791,0.02663,3.4e-18,5680.5,4.32e-08,4.43e-30,42.776
2.16e-05,0.524,0.032054,3.01e-18,29840,7.13e-09,2.41e-31,42.296
4.22e-05,0.81435,0.051326,4.34e-18,45995,4.46e-10,1.79e-31,50.259
3.12e-05,0.63666,0.021977,1.44e-18,1.0248e+05,5.63e-10,3.63e-31,51.42
4.25e-05,0.54299,0.029317,1.06e-18,6233.4,6.75e-11,5.33e-32,67.881
3.54e-05,0.62651,0.034088,2.78e-19,93631,7.7e-09,1.06e-31,55.806
5.93e-05,0.59366,0.023073,4.78e-18,15914,2.13e-10,2.46e-30,83.818
4.18e-05,0.89881,0.036961,1.4e-17,25375,3.37e-10,1.96e-31,49.704
5.12e-05,0.81691,0.062925,1.16e-18,32943,1.23e-09,1.95e-31,53.397
3.85e-05,0.89158,0.062465,4.19e-18,26049,8.23e-11,2.17e-30,43.133
3.68e-05,0.74887,0.039656,2.1e-19,2.5652e+05,8.11e-09,1.16e-31,51.761
4.46e-05,0.72809,0.053123,1.6e-18,11213,5.77e-08,2.36e-30,53.945
3.57e-05,0.83622,0.018639,4.16e-18,28835,1.19e-08,3.38e-31,52.794
2.83e-05,0.8782,0.064873,1.75e-17,1.9311e+05,1.73e-09,9.14e-31,34.269
5.7e-05,0.7585,0.036589,1.22e-17,1.2034e+05,1.85e-10,4.48e-30,70.071
4.72e-05,0.60181,0.054671,1.8e-18,23896,6.89e-09,1.49e-30,58.021
4.24e-05,0.52948,0.021341,4.56e-18,2.337e+05,4.29e-08,5.8e-32,71.149
3.24e-05,0.5441,0.017802,1.13e-18,1.7374e+05,3.42e-10,1.64e-31,59.261
3.27e-05,0.51504,0.030005,1.05e-17,9234.5,1.8e-10,2.3e-30,57.594
3.7e-05,0.71514,0.04482,8.77e-18,1.3529e+05,3e-09,8.12e-32,49.614
2.26e-05,0.73984,0.021661,4.38e-18,1.0349e+05,1.79e-09,3.92e-30,37.018
4.12e-05,0.57221,0.056813,6.7e-19,46496,1.96e-10,6.98e-32,58.018
4.44e-05,0.5982,0.058592,9.72e-18,95995,7.84e-10,1.77e-30,57.1
5.4e-05,0.83798,0.029374,7.92e-18,2.3981e+05,3.25e-09,1.1e-31,64.412
2.19e-05,0.50341,0.055887,7.34e-19,10150,1.89e-10,5.6e-32,45.412
3.79e-05,0.68714,0.023661,6.56e-18,2.8527e+05,4.18e-09,2.07e-31,57.556
2.43e-05,0.84738,0.052509,2.95e-18,4495.5,6.99e-09,3.37e-30,34.083
5.07e-05,0.63293,0.042683,8.78e-19,5320.8,7.91e-10,3.79e-31,65.855
