ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
144,1.81E-05,0.5410876542,0.03374022605,4.43E-09,45475.31595,2.57E-07,6.87E-10,2.22E-18,9.98E-07,10.23827159,1.017663552
145,3.84E-05,0.8041521232,0.02815375259,4.16E-09,29236.01748,1.46E-07,1.59E-09,2.82E-18,7.88E-07,9.373978367,0.15337033
146,6.39E-05,0.5458152807,0.06007856363,1.94E-09,33599.84055,2.03E-07,2.75E-09,2.94E-18,9.79E-07,11.06532217,1.844714138
147,3.39E-05,0.7331404337,0.01577445846,3.96E-09,36659.19677,8.73E-08,1.13E-09,1.93E-18,9.64E-07,10.83056307,1.609955032
148,4.21E-05,0.8550067626,0.07599584568,2.28E-09,33004.45434,3.15E-07,1.16E-09,2.80E-18,9.46E-07,11.01602152,1.795413478
149,1.55E-05,0.691554652,0.0358756442,3.60E-09,11314.73179,3.61E-07,2.35E-09,3.74E-18,7.23E-07,9.220616608,8.57E-06
150,8.82E-05,0.7300626193,0.0324416838,1.25E-09,49837.50535,2.51E-07,1.63E-09,2.61E-18,6.85E-07,14.63319541,5.412587375
151,3.71E-05,0.7247314266,0.02521011532,1.57E-09,14712.01145,2.93E-07,9.68E-10,2.13E-18,6.13E-07,13.02581162,3.805203584
152,8.50E-05,0.8688885142,0.01292769355,1.14E-09,21237.3596,3.91E-07,1.50E-09,1.02E-18,3.20E-07,15.9556718,6.73506376
153,5.39E-05,0.6302350782,0.07058937197,1.05E-09,10530.78677,1.29E-08,2.73E-09,3.03E-18,5.94E-07,14.25141493,5.030806888
154,9.09E-05,0.7829407844,0.04609063681,1.54E-09,16970.30016,2.04E-07,1.72E-09,2.76E-18,7.44E-07,12.22502619,3.004418155
155,5.11E-05,0.6064493397,0.04398109872,1.76E-09,31397.69257,9.69E-08,1.91E-09,1.80E-18,9.15E-07,14.66985478,5.449246748
156,5.67E-05,0.8577354446,0.06859676687,2.30E-09,22762.24097,1.73E-07,2.46E-09,3.14E-18,7.03E-07,9.914853681,0.6942456439
157,6.07E-05,0.6957677127,0.0469150498,1.06E-09,28590.32991,8.89E-08,1.64E-09,2.67E-18,6.58E-07,15.71012437,6.489516334
158,1.52E-05,0.5674474215,0.055861461,3.92E-09,37272.45675,3.57E-07,1.80E-09,3.05E-18,6.20E-07,9.37498754,0.1543795032
159,5.53E-05,0.7175404576,0.0672850742,1.52E-09,35338.01441,3.38E-07,2.44E-09,1.17E-18,7.18E-07,14.87251173,5.651903695
160,4.24E-05,0.7889202141,0.01924310751,4.25E-09,24106.52665,1.50E-07,8.83E-10,2.40E-18,9.05E-07,9.799739796,0.5791317596
161,4.31E-05,0.5664768495,0.02659306909,8.96E-10,46402.68004,4.44E-08,3.46E-10,3.85E-18,8.00E-07,18.7373412,9.516733167
162,3.22E-05,0.5646004738,0.07005321156,3.07E-09,6579.400066,1.88E-07,1.59E-09,1.91E-18,4.99E-07,9.650994726,0.4303866896
163,3.00E-05,0.7514930587,0.01455741855,3.16E-09,23962.07479,2.51E-07,2.97E-09,2.81E-18,6.57E-07,9.366101446,0.1454934091
