,Grain-size-ratio index,Grain Size (um),Operation Days,Heat Flux (W/cm2),Fission Rate (10^14 f/cm3/s),Coolant init Temp (C),Fuel Temp (C),Fission Density (10^21 f/cm3),Fuel Swelling (%),Fuel Gas Swelling (%)
9754,1,1.34,118,240.0,6,88,150.0678790218247,6.117120024442801,58.70266679669663,34.23418669892542
9755,1,1.34,119,240.0,6,88,150.074174047047,6.168960024649943,58.91387679718974,34.23803669858997
9756,1,1.34,120,240.0,6,88,150.0807187576049,6.220800024857084,59.12568870147268,34.24248860204433
9757,1,1.34,121,240.0,6,88,150.0876772032257,6.272640025064226,59.33705117441431,34.24649107415741
9758,1,1.34,122,240.0,6,88,150.0948040398411,6.324480025271368,59.54850074694046,34.25058064585498
9759,1,1.34,123,240.0,6,88,150.1021736810675,6.376320025478511,59.76041606140768,34.25513595949364
9760,1,1.34,124,240.0,6,88,150.1098654896676,6.428160025685653,59.9719477561605,34.25930765341791
9761,1,1.34,125,240.0,6,88,150.1176432524119,6.480000025892794,60.18361551984626,34.26361541627508
9762,1,1.34,126,240.0,6,88,150.1255955597137,6.531840026099936,60.39579220590786,34.2684321015081
9763,1,1.34,127,240.0,6,88,150.1338138944099,6.583680026307079,60.60697227389903,34.27225216867072
9764,1,1.34,128,240.0,6,88,150.1419508014855,6.635520026514221,60.81712300607478,34.27504290001791
9765,1,1.34,129,240.0,6,88,150.1499904686688,6.687360026721362,61.02901623576818,34.27957612888273
9766,1,1.34,130,240.0,6,88,150.1584771899667,6.739200026928504,61.23991812060427,34.28311801289023
9767,1,1.34,131,240.0,6,88,150.1668318479907,6.791040027135646,61.45066820173549,34.2865080931929
9768,1,1.34,132,240.0,6,88,150.1752745817362,6.8428800273427886,61.66287060491526,34.29135049554409
9769,1,1.34,133,240.0,6,88,150.1840121531127,6.894720027549931,61.8744310144847,34.29555090428497
9770,1,1.34,134,240.0,6,88,150.1927002366382,6.946560027757072,62.08606125906419,34.29982114803591
9771,1,1.34,135,240.0,6,88,150.2014441334211,6.998400027964214,62.29776153687515,34.30416142501829
10553,2,4.36,3,240.0,6,88,144.1548205210241,0.1555200006214273,0.6853414093909728,0.0632614069052636
10554,2,4.36,4,240.0,6,88,144.1636224621215,0.2073600008285697,0.9591250834449344,0.1296850801306559
10555,2,4.36,5,240.0,6,88,144.2347113492838,0.2592000010357121,1.25303658924171,0.2162365850988618
10556,2,4.36,6,240.0,6,88,144.2470565546714,0.3110400012428545,1.561545853386022,0.3173858484146038
10557,2,4.36,7,240.0,6,88,144.2603670355111,0.362880001449997,1.880903028590999,0.4293830227910107
10558,2,4.36,8,240.0,6,88,144.2760355031385,0.4147200016571394,2.208193973757067,0.5493139671285096
10559,2,4.36,9,240.0,6,88,144.2929513988462,0.4665600018642818,2.540900521388805,0.6746605139316779
10560,2,4.36,10,240.0,6,88,144.310856393278,0.5184000020714241,2.876963439257928,0.8033634309722318
10561,2,4.36,11,240.0,6,88,144.3295548625501,0.5702400022785665,3.214557697484755,0.9335976883704884
10562,2,4.36,12,240.0,6,88,144.3489024094181,0.6220800024857089,3.552069549548578,1.063749539605743
10563,2,4.36,13,240.0,6,88,144.368744624259,0.6739200026928513,3.888056290484128,1.192376279712724
10564,2,4.36,14,240.0,6,88,144.3889369687519,0.7257600028999937,4.221302924638375,1.3182629130384
10565,2,4.36,15,240.0,6,88,144.4093451915135,0.7776000031071361,4.550774003334002,1.440373990905457
10566,2,4.36,16,240.0,6,88,144.4298402983059,0.8294400033142785,4.87561377649143,1.557853763234315
10567,2,4.36,17,240.0,6,88,144.450299816874,0.8812800035214209,5.195167010394232,1.67004699630855
10568,2,4.36,18,240.0,6,88,144.4706148770529,0.9331200037285632,5.509010710190986,1.776530695276732
10569,2,4.36,19,240.0,6,88,144.4906186962214,0.9849600039357056,5.8171378095562,1.877297793813377
10570,2,4.36,20,240.0,6,88,144.5102835430658,1.036800004142848,6.119346023600068,1.972146007028675
10571,2,4.36,21,240.0,6,88,144.5296032071502,1.08864000434999,6.415492952040375,2.060932934640412
10572,2,4.36,22,240.0,6,88,144.5485279626503,1.140480004557133,6.705602876237934,2.143682858009404
10573,2,4.36,23,240.0,6,88,144.5670070160404,1.192320004764275,6.989698151185994,2.220418132128893
10574,2,4.36,24,240.0,6,88,144.5850181936694,1.244160004971418,7.267888908952525,2.291248889066853
10575,2,4.36,25,240.0,6,88,144.6025427071993,1.29600000517856,7.540326773633313,2.356326752919071
10576,2,4.36,26,240.0,6,88,144.6195726740149,1.3478400053857031,7.807196634095027,2.415836612552213
10577,2,4.36,27,240.0,6,88,144.6361001515759,1.3996800055928451,8.06873703995246,2.470017017581076
10578,2,4.36,28,240.0,6,88,144.6521271236085,1.451520005799988,8.325157150070298,2.519077126870348
10579,2,4.36,29,240.0,6,88,144.6676632816803,1.50336000600713,8.5760814294417,2.562641405413181
10580,2,4.36,30,240.0,6,88,144.6842980772252,1.555200006214273,8.822250855220865,2.601450830363773
10581,2,4.36,31,240.0,6,88,144.6981190717896,1.607040006421415,9.064052960897776,2.635892935212115
10582,2,4.36,32,240.0,6,88,144.7117871293563,1.658880006628558,9.301595967065166,2.666075940550936
10583,2,4.36,33,240.0,6,88,144.7278942587841,1.7107200068357,9.53485708779465,2.691977060451849
10584,2,4.36,34,240.0,6,88,144.7397965755328,1.762560007042843,9.764851622587283,2.714611594415911
10585,2,4.36,35,240.0,6,88,144.7518874016351,1.814400007249986,9.991007355107556,2.733407326107613
10586,2,4.36,36,240.0,6,88,144.7658410185139,1.866240007457128,10.21654092436509,2.751580894536584
10587,2,4.36,37,240.0,6,88,144.780294327194,1.918080007664271,10.4370451224355,2.764725091778419
10588,2,4.36,38,240.0,6,88,144.7902450700183,1.9699200078714127,10.65877609695324,2.779096065467591
10589,2,4.36,39,240.0,6,88,144.8037828769037,2.021760008078556,10.8743133742105,2.787273341896278
10590,2,4.36,40,240.0,6,88,144.8134240374329,2.0736000082856982,11.09343528102695,2.799035247884158
10591,2,4.36,41,240.0,6,88,144.8263763768866,2.125440008492841,11.31236187025295,2.81060183628159
10592,2,4.36,42,240.0,6,88,144.8393947484329,2.177280008699983,11.53114866217182,2.822028627371886
10593,2,4.36,43,240.0,6,88,144.8521808878058,2.229120008907126,11.75009230022415,2.833612264595651
10594,2,4.36,44,240.0,6,88,144.8649450958782,2.280960009114268,11.9578807915614,2.834040755104323
10595,2,4.36,45,240.0,6,88,144.8723691577073,2.332800009321411,12.17691629191349,2.845716254627844
10596,2,4.36,46,240.0,6,88,144.884491232839,2.384640009528553,12.39607763475554,2.857517596641328
10597,2,4.36,47,240.0,6,88,144.8965995746561,2.436480009735696,12.61562744554484,2.869707406602055
10598,2,4.36,48,240.0,6,88,144.908623097493,2.488320009942838,12.85006048648436,2.896780446713007
10599,2,4.36,49,240.0,6,88,144.9265325503374,2.5401600101499806,13.07279189595097,2.912151855351052
10600,2,4.36,50,240.0,6,88,144.9382979213581,2.592000010357123,13.29647271948452,2.928472678056025
10601,2,4.36,51,240.0,6,88,144.9499719579387,2.643840010564266,13.54012440719103,2.96476436493397
10602,2,4.36,52,240.0,6,88,144.9685814506536,2.695680010771408,13.76867570536215,2.985955662276521
10603,2,4.36,53,240.0,6,88,144.9796865836821,2.7475200109785507,14.02062924718179,3.030549203267584
10604,2,4.36,54,240.0,6,88,144.997362128135,2.799360011185693,14.27587450001377,3.078434455271001
10605,2,4.36,55,240.0,6,88,145.0152788928939,2.851200011392836,14.53610715643793,3.131307110866581
10606,2,4.36,56,240.0,6,88,145.0331471698442,2.9030400115999777,14.83035997712056,3.218199930720645
10607,2,4.36,57,240.0,6,88,145.0582925066254,2.954880011807121,15.09945969072305,3.279939643494561
10608,2,4.36,58,240.0,6,88,145.0753863228246,3.006720012014263,15.40457596452466,3.377695916467606
10609,2,4.36,59,240.0,6,88,145.1008556310925,3.058560012221406,15.75790665653727,3.523666607651642
10610,2,4.36,60,240.0,6,88,145.1346360349918,3.110400012428549,16.15926420834647,3.717664158632279
10611,2,4.36,61,240.0,6,88,145.1758400509943,3.162240012635691,16.57185821530003,3.922898164757262
10612,2,4.36,62,240.0,6,88,145.2169612775519,3.214080012842834,16.99765108194182,4.141331030570488
10613,2,4.36,63,240.0,6,88,145.2580945088594,3.265920013049976,17.52762784957459,4.463947797374685
10614,2,4.36,64,240.0,6,88,145.3178729185425,3.3177600132571192,18.07477145463892,4.803731401610444
10615,2,4.36,65,240.0,6,88,145.3779873625904,3.369600013464261,18.58733651011291,5.108936456255864
10616,2,4.36,66,240.0,6,88,145.4277073056029,3.421440013671404,19.16703551810205,5.481275463416439
10617,2,4.36,67,240.0,6,88,145.4893750917839,3.4732800138785462,19.81947676064091,5.926356705126723
10618,2,4.36,68,240.0,6,88,145.5643866264574,3.5251200140856893,20.43493719941464,6.334457143071881
10619,2,4.36,69,240.0,6,88,145.62938824382,3.576960014292831,21.06863768163506,6.760797624463737
10620,2,4.36,70,240.0,6,88,145.6963803918278,3.628800014499974,21.84982263732761,7.334622579327712
10621,2,4.36,71,240.0,6,88,145.7897610888689,3.680640014707116,22.72433683122258,8.001776772394113
10622,2,4.36,72,240.0,6,88,145.8980182817789,3.7324800149142594,23.56112361850131,8.631203558844271
10623,2,4.36,73,240.0,6,88,145.9949771396801,3.784320015121401,24.42496980922586,9.287689748740252
10624,2,4.36,74,240.0,6,88,146.0947544572636,3.836160015328544,25.39251884433634,10.04787878302216
10625,2,4.36,75,240.0,6,88,146.2135270091651,3.888000015535686,26.31386143750461,10.76186137536186
10626,2,4.36,76,240.0,6,88,146.3210483629756,3.9398400157428286,27.26476236953669,11.50540230656538
10627,2,4.36,77,240.0,6,88,146.4327681187946,3.991680015949971,28.15800192083224,12.19128185703236
10628,2,4.36,78,240.0,6,88,146.5340755972157,4.043520016157114,29.07761634289478,12.90353627826632
10629,2,4.36,79,240.0,6,88,146.6413656455923,4.095360016364256,30.0247301322858,13.64329006682878
10630,2,4.36,80,240.0,6,88,146.7544585306001,4.147200016571399,31.00105124823575,14.41225118195016
10631,2,4.36,81,240.0,6,88,146.8728745918081,4.19904001677854,32.10794331356062,15.31178324644645
10632,2,4.36,82,240.0,6,88,147.0159380141964,4.250880016985684,33.14823676424825,16.14471669630551
10633,2,4.36,83,240.0,6,88,147.1440280678654,4.302720017192826,34.33005639027055,17.11917632149925
10634,2,4.36,84,240.0,6,88,147.2989521912987,4.354560017399969,35.3253756408556,17.90713557125572
10635,2,4.36,85,240.0,6,88,147.4165321953484,4.406400017607111,36.465787602018,18.84018753158956
10636,2,4.36,86,240.0,6,88,147.5639715891409,4.458240017814254,37.51857906523903,19.68561899398202
10637,2,4.36,87,240.0,6,88,147.6947848454417,4.510080018021397,38.60239834235946,20.56207827027388
10638,2,4.36,88,240.0,6,88,147.8316712490697,4.561920018228539,39.58625080966486,21.3385707367507
10639,2,4.36,89,240.0,6,88,147.9507977304732,4.613760018435682,40.59528536083455,22.14024528709183
10640,2,4.36,90,240.0,6,88,148.0763576029786,4.665600018642824,41.76618956021107,23.10378948563978
10641,2,4.36,91,240.0,6,88,148.2361471667902,4.717440018849967,42.83141366638897,23.96165359098909
10642,2,4.36,92,240.0,6,88,148.3745382441537,4.769280019057109,44.07398105468882,24.99686097846039
10643,2,4.36,93,240.0,6,88,148.5485746851029,4.82112001926425,45.20115048359663,25.91667040653963
10644,2,4.36,94,240.0,6,88,148.698835134123,4.8729600194713925,46.36138393731972,26.86954385943414
10645,2,4.36,95,240.0,6,88,148.8550141133833,4.924800019678535,47.38896055525178,27.68976047653764
10646,2,4.36,96,240.0,6,88,148.9863146163427,4.976640019885677,48.4399393573647,28.53337927782199
10647,2,4.36,97,240.0,6,88,149.1255745972594,5.028480020092818,49.51321994209192,29.39929986172065
10648,2,4.36,98,240.0,6,88,149.2720672114399,5.08032002029996,50.43771173424128,30.11643165304145
10649,2,4.36,99,240.0,6,88,149.3886539332954,5.132160020507103,51.56121652041862,31.03257643839021
10650,2,4.36,100,240.0,6,88,149.5497766065216,5.184000020714245,52.52408601943191,31.78808593657493
10651,2,4.36,101,240.0,6,88,149.6789385663929,5.235840020921387,53.51295935578078,32.56959927209523
10652,2,4.36,102,240.0,6,88,149.8137557356164,5.287680021128528,54.51882334822803,33.36810326371392
10653,2,4.36,103,240.0,6,88,149.9538775602631,5.33952002133567,55.54668608070033,34.18860599535765
10654,2,4.36,104,240.0,6,88,150.0994574840136,5.391360021542813,56.5974472433607,35.03200715718946
10655,2,4.36,105,240.0,6,88,150.2505691592436,5.443200021749955,57.67164844820698,35.89884836120716
10656,2,4.36,106,240.0,6,88,150.4073173332407,5.495040021957096,58.55239832897568,36.5722382411473
10657,2,4.36,107,240.0,6,88,150.5233487959632,5.546880022164238,59.67064135077253,37.48312126211557
10658,2,4.36,108,240.0,6,88,150.6930597590423,5.5987200223713804,60.58023527826845,38.18535518878292
10659,2,4.36,109,240.0,6,88,150.8190364431998,5.650560022578523,61.7460338847151,39.14379379440103
10660,2,4.36,110,240.0,6,88,151.0015107150911,5.702400022785665,62.69406223201764,39.88446214087499
10661,2,4.36,111,240.0,6,88,151.1379136759057,5.754240022992806,63.68040633668132,40.66344624471008
10662,2,4.36,112,240.0,6,88,151.2796601322073,5.806080023199948,64.91372304816866,41.68940295536887
10663,2,4.36,113,240.0,6,88,151.4829231317611,5.8579200234070905,65.66405825754067,42.23237816391232
10664,2,4.36,114,240.0,6,88,151.5774051520078,5.909760023614233,66.69392029304427,43.05488019858734
10665,2,4.36,115,240.0,6,88,151.7378492654852,5.961600023821375,67.4579944308062,43.6115943355207
10666,2,4.36,116,240.0,6,88,151.8415702810054,6.013440024028516,68.24195952718061,44.18819943106656
10667,2,4.36,117,240.0,6,88,151.9498889468304,6.065280024235658,68.74770171944144,44.48658162249879
10668,2,4.36,118,240.0,6,88,151.9998928336399,6.117120024442801,69.5380942529925,45.06961415522129
10669,2,4.36,119,240.0,6,88,152.1187524864469,6.168960024649943,70.04282301022674,45.36698291162696
10670,2,4.36,120,240.0,6,88,152.1748683857844,6.220800024857084,70.85443086687333,45.97123076744499
10671,2,4.36,121,240.0,6,88,152.3024523097151,6.272640025064226,71.3705677540004,46.28000765374349
10672,2,4.36,122,240.0,6,88,152.3624101131954,6.324480025271368,72.20416950086204,46.90624939977658
10673,2,4.36,123,240.0,6,88,152.495202586775,6.376320025478511,72.7319061670774,47.22662606516336
10674,2,4.36,124,240.0,6,88,152.5585179755721,6.428160025685653,73.27675677347088,47.56411667072827
10675,2,4.36,125,240.0,6,88,152.6249990592605,6.480000025892794,73.81179121174291,47.89179110817174
10676,2,4.36,126,240.0,6,88,152.6941426748118,6.531840026099936,74.35199063111763,48.22463052671789
10677,2,4.36,127,240.0,6,88,152.7665831042159,6.583680026307079,74.89619713927144,48.56147703404313
10678,2,4.36,128,240.0,6,88,152.8417689407036,6.635520026514221,75.12355837760593,48.58147827154905
10679,2,4.36,129,240.0,6,88,152.8405421014272,6.687360026721362,75.67194213556778,48.92250202868234
10680,2,4.36,130,240.0,6,88,152.9185984104581,6.739200026928504,76.21245964362643,49.25565953591241
10681,2,4.36,131,240.0,6,88,152.9976946391879,6.791040027135646,76.44169640261698,49.27753629407441
10682,2,4.36,132,240.0,6,88,152.998802931569,6.8428800273427886,77.0037318385554,49.63221172918427
