%eval_id interface FaceCovMax     rResolBulk     vResol         DatomFissGBx   fNucleate      aAtomDifFiss   StickProb      rResolGBB      fuel_swelling  fuel_gas_swelling 
89       NO_ID      0.5886366858   3.542711167e-09 5.89941335e-19 25242.45252    2.309693658e-10 5.077883396e-31 2.497158257e-07 2.184238809e-07 1272.269282    1240.197602    
90       NO_ID      0.815196624    3.678032708e-09 1.144075582e-18 30893.8624     1.387610078e-09 3.952304861e-31 5.002550166e-08 4.891808701e-07 104.2514413    72.17976118    
91       NO_ID      0.7568360505   3.98377462e-09 7.234913524e-19 56941.72349    5.019340571e-10 6.361931855e-31 5.776792424e-08 1.298059051e-06 403.1953142    371.123634     
92       NO_ID      0.7305606651   2.585367378e-09 3.056788055e-18 14625.33092    2.897378624e-09 1.732903735e-31 2.672210273e-07 1.172890309e-07 110.4230996    78.35141947    
93       NO_ID      0.703959891    2.893302922e-09 1.961063988e-18 12603.88759    8.580452883e-10 6.314135912e-31 3.865349042e-07 1.139574038e-06 113.9901204    81.91844029    
94       NO_ID      0.774170856    2.604202636e-09 1.78450386e-18 26764.80334    5.804312758e-10 4.115213501e-31 3.15835885e-07 4.446903396e-06 107.6525764    75.58089627    
95       NO_ID      0.7401208439   2.689937445e-09 2.180448439e-19 66628.98999    1.363940442e-09 3.153560734e-31 4.502206335e-07 5.239201838e-07 301.0092997    268.9376196    
96       NO_ID      0.8470963078   2.747850213e-09 1.557757858e-18 65733.92321    3.205890347e-10 3.723989649e-31 3.758827501e-08 6.57898122e-07 112.595034     80.52335388    
97       NO_ID      0.6551344865   1.831711893e-09 3.729247963e-18 17915.79461    3.699867994e-10 5.841077297e-31 1.114381594e-07 2.726653954e-07 138.3564243    106.2847442    
98       NO_ID      0.7271302677   3.089846007e-09 3.390247836e-18 33452.8212     3.625087199e-10 1.311323338e-30 9.918070098e-08 2.149755872e-07 111.6603604    79.58868028    
99       NO_ID      0.6421074174   2.664710891e-09 4.71674849e-19 77111.81094    3.110994763e-09 1.408948149e-30 2.051838636e-07 3.642103332e-07 1095.454985    1063.383305    
100      NO_ID      0.7020338646   3.256711281e-09 2.856304203e-18 10501.23512    8.009821143e-10 5.048455668e-31 3.038648834e-07 1.974846531e-07 113.8954629    81.82378281    
101      NO_ID      0.6974146343   3.239653733e-09 3.16203357e-18 34001.48423    5.167601946e-10 3.290926275e-31 2.932588335e-07 9.451182487e-07 115.0027814    82.93110126    
102      NO_ID      0.7119437825   2.706110387e-09 1.089635842e-18 26694.57634    9.532188563e-10 6.137826044e-31 2.217918614e-07 1.650709425e-06 118.2269265    86.15524641    
103      NO_ID      0.6810168618   2.816749537e-09 8.34498841e-19 41231.35307    1.528645106e-10 4.868131821e-31 3.526831993e-07 7.559074977e-07 508.3383406    476.2666605    
104      NO_ID      0.701954347    2.446745854e-09 1.43938378e-18 17183.91902    7.756484879e-10 3.614722783e-31 2.803743598e-07 1.548677158e-06 115.4644575    83.39277733    
105      NO_ID      0.5485218988   2.646292911e-09 2.004023127e-18 51325.64568    1.083534558e-10 3.422636703e-31 3.487780065e-07 3.81837773e-07 146.4028678    114.3311877    
106      NO_ID      0.7604535471   3.077897556e-09 1.655317743e-18 18447.65974    3.786373745e-10 7.345608226e-31 2.406791907e-07 2.783616138e-07 108.6081014    76.5364213     
107      NO_ID      0.7515507007   1.714980241e-09 1.697821547e-18 53914.27943    4.678692489e-10 2.976901759e-31 2.833502347e-07 2.059010657e-07 113.0644063    80.99272614    
108      NO_ID      0.7438482341   2.998856339e-09 5.702036949e-19 13944.14049    2.515930745e-10 1.544775556e-30 7.140650415e-07 8.098983314e-08 110.8619458    78.79026568    
109      NO_ID      0.7501192375   2.655782575e-09 9.139011608e-19 66751.01604    8.352186274e-10 8.956323679e-31 2.019742583e-07 1.209573728e-06 402.6344177    370.5627376    
110      NO_ID      0.6035898973   3.576776462e-09 1.364728187e-18 44359.83365    1.208811639e-09 1.366972066e-31 2.693626955e-07 1.054754349e-06 124.2937874    92.22210732    
111      NO_ID      0.6805522371   3.002636291e-09 2.156653272e-18 97226.91946    1.408899914e-09 3.018076316e-31 8.668070041e-08 2.000025307e-07 116.8274349    84.75575476    
112      NO_ID      0.6889311115   3.291813784e-09 2.259471087e-18 16414.36091    3.677178559e-10 4.808820494e-31 2.242543161e-07 3.497207747e-07 116.0402128    83.96853266    
113      NO_ID      0.7598028541   3.43379451e-09 8.157823434e-18 17565.53689    5.656523351e-10 1.753743377e-30 2.81620792e-07 9.256281646e-08 107.4412048    75.36952462    
114      NO_ID      0.7071248171   1.66673132e-09 3.289687416e-18 72503.2837     6.27488149e-10 4.817354936e-31 4.117356623e-07 5.672645046e-07 114.8790871    82.80740693    
115      NO_ID      0.7730737068   2.771431943e-09 2.170677571e-17 28902.55216    8.248120325e-10 4.292365461e-31 3.215412852e-07 5.476112312e-07 106.6440808    74.57240071    
116      NO_ID      0.5953225742   3.557529345e-09 7.613594589e-19 78324.31043    4.83888688e-10 2.779537922e-30 4.400895069e-07 3.981215742e-07 54297.88857    54265.81689    
117      NO_ID      0.6786684158   1.630699342e-09 1.915379898e-18 45281.53161    1.231651143e-09 3.777379598e-31 4.478801597e-07 2.107625956e-07 120.6878219    88.61614182    
118      NO_ID      0.794382367    2.698662777e-09 7.4250798e-18  24235.53278    2.438957655e-10 4.356900782e-31 2.730698289e-07 3.526461922e-07 105.432526     73.36084585    
119      NO_ID      0.6857192622   2.253914099e-09 1.031251049e-18 39005.76616    7.948490236e-10 5.271623792e-31 3.093531074e-07 3.929998601e-07 254.7704115    222.6987314    
120      NO_ID      0.7554777576   3.63117558e-09 3.00590741e-18 19677.70868    4.13018799e-10 8.036811995e-31 4.846201548e-07 4.469986141e-07 109.1712545    77.09957437    
121      NO_ID      0.8530715261   3.248009708e-09 8.017727793e-19 38946.74626    1.426101837e-09 7.492902891e-31 1.34645855e-07 7.413611486e-07 105.6233779    73.55169775    
122      NO_ID      0.7418125212   3.143342127e-09 2.128621015e-18 58234.47676    6.812059611e-10 5.487924293e-30 8.711730502e-08 6.739573049e-07 125047.4205    125015.3488    
123      NO_ID      0.5367520838   2.178876366e-09 5.105525646e-18 24967.91712    3.268692215e-10 6.764778343e-31 3.256988357e-07 3.283800292e-07 133.6992384    101.6275583    
124      NO_ID      0.7870242224   2.839627606e-09 1.762993934e-18 40091.48991    9.489560727e-10 4.84705889e-31 8.117366042e-08 1.346472365e-06 106.6309604    74.55928024    
125      NO_ID      0.725436492    3.982124774e-09 3.334997848e-18 113461.818     3.93017964e-10 1.48625076e-30 1.437969377e-07 3.692571935e-07 112.4839227    80.41224253    
126      NO_ID      0.8601429827   2.049961808e-09 1.044068256e-18 13686.27784    1.151975253e-10 4.920002919e-31 1.396000721e-07 9.09982376e-07 416.6181318    384.5464517    
127      NO_ID      0.6558013556   3.441514374e-09 3.33138461e-18 75107.46841    3.841789239e-10 2.121498499e-31 1.506812826e-07 1.006522172e-06 119.9592739    87.88759382    
128      NO_ID      0.7111271483   2.841679525e-09 1.35501432e-18 30981.257      1.70543464e-09 2.030544002e-30 1.164690252e-07 7.376538593e-07 958.4649042    926.393224     
129      NO_ID      0.6979835236   3.138035992e-09 6.783543262e-18 47366.60415    7.007954926e-10 8.659767211e-31 9.328881536e-08 5.318434238e-07 114.6155182    82.54383805    
130      NO_ID      0.7698447308   2.655396813e-09 1.711736769e-18 34461.67126    5.254074897e-10 2.688701155e-31 2.072025485e-07 9.613645231e-08 106.8622962    74.79061604    
131      NO_ID      0.7431139425   3.553603479e-09 1.885638201e-18 22770.86408    1.181586393e-09 3.505624453e-31 1.30678964e-07 5.84634394e-07 109.8298994    77.75821925    
132      NO_ID      0.6232268455   2.791387919e-09 1.063787906e-18 16551.66949    5.040499343e-10 5.524244808e-31 2.100335774e-07 3.831710128e-07 538.5829971    506.511317     
133      NO_ID      0.7161716433   3.152267073e-09 1.421880368e-18 45790.20249    1.440038333e-09 6.427663451e-31 3.476363342e-07 4.840415116e-07 113.7826707    81.71099053    
134      NO_ID      0.6989323659   2.711451361e-09 1.096313317e-18 103276.1084    1.963685688e-10 6.754922069e-31 4.946450685e-07 1.607707024e-07 308.5848768    276.5131967    
135      NO_ID      0.835638363    4.148038377e-09 1.594573812e-18 26077.00549    9.376492021e-10 6.207729573e-31 6.531661941e-08 2.990777417e-07 101.442184     69.37050388    
136      NO_ID      0.7339053153   3.232943431e-09 3.626885855e-18 15460.4678     1.610507575e-09 2.441834792e-31 9.155926112e-08 3.178156754e-07 110.2764752    78.20479504    
137      NO_ID      0.5991004333   1.903551212e-09 1.275636158e-18 11574.64246    6.428831705e-10 4.779571559e-31 5.109935312e-07 7.109010955e-07 440.4606729    408.3889927    
138      NO_ID      0.6785317173   2.069613115e-09 1.036415797e-18 23189.22348    3.082949189e-10 9.008758853e-31 7.288436337e-08 6.545557249e-07 97546.76594    97514.69426    
139      NO_ID      0.7972073609   3.505486278e-09 1.690275457e-18 22355.34899    4.443698559e-10 3.688492607e-31 3.820984475e-07 1.477473653e-06 105.1076555    73.03597536    
140      NO_ID      0.6083992554   1.264541197e-09 1.465543616e-18 22290.69382    8.624470102e-10 4.051978523e-31 2.580457965e-07 1.961487444e-07 840.6077132    808.5360331    
141      NO_ID      0.8084447633   2.344717429e-09 6.698299889e-18 165686.3686    7.781683288e-10 2.762032942e-31 2.655748048e-07 8.691093816e-07 103.4582857    71.38660557    
142      NO_ID      0.5608338276   3.092477427e-09 1.794839153e-18 71481.99174    6.710631189e-10 3.005750879e-31 4.146846214e-07 5.469541443e-07 130.8443108    98.77263072    
143      NO_ID      0.6526347864   3.105034194e-09 5.427688029e-18 33769.21322    2.739876618e-09 8.577048939e-31 2.112362585e-07 1.871088503e-07 117.7526723    85.68099213    
144      NO_ID      0.7061964665   2.492242436e-09 2.988231747e-18 11911.38736    2.358502391e-10 1.14537063e-30 3.869588398e-07 2.945582227e-07 113.5876892    81.51600912    
145      NO_ID      0.714954386    3.086416533e-09 5.143003434e-18 14083.91406    4.165814338e-10 4.316145109e-31 4.934725557e-08 2.289444885e-07 113.1737674    81.10208731    
146      NO_ID      0.6404312731   3.185617094e-09 1.478954447e-18 48278.33443    2.488158632e-10 1.524553459e-31 3.410213367e-07 5.95655783e-07 122.5139114    90.44223124    
147      NO_ID      0.7386202806   3.667803815e-09 1.821939413e-18 11351.96207    4.151789174e-10 1.027980909e-30 4.088339503e-07 8.063615521e-07 110.7818349    78.71015473    
148      NO_ID      0.7208658851   2.784591426e-09 8.513785989e-19 23456.37154    3.548828211e-10 1.19696039e-31 1.511363301e-07 6.046015917e-07 114.5499616    82.47828144    
149      NO_ID      0.6639646767   3.263123377e-09 1.564965865e-18 64615.94188    9.660391267e-10 3.246884932e-31 2.355116678e-07 5.385578147e-07 118.9171598    86.84547962    
150      NO_ID      0.7486303494   3.795155632e-09 2.821184889e-18 9155.854606    5.107892752e-10 3.112353383e-31 7.695503399e-08 7.894229027e-07 109.575401     77.5037209     
151      NO_ID      0.8021959255   2.864722745e-09 1.672887681e-18 50794.52081    7.631627845e-10 7.686292722e-31 4.596539272e-07 4.07069964e-07 105.4140024    73.34232229    
152      NO_ID      0.7295032992   2.681697973e-09 2.929782879e-18 196839.7622    8.523759208e-10 2.081678318e-30 7.18101682e-08 8.124360703e-07 463.7653723    431.6936922    
153      NO_ID      0.6065997716   3.495283723e-09 7.057248151e-19 42306.06638    8.908513261e-10 2.226350044e-31 1.047207076e-07 6.447258868e-07 130.7448516    98.67317149    
154      NO_ID      0.7532209497   2.011106539e-09 2.250780473e-18 10016.1968     5.906513111e-10 9.750476463e-31 5.243239733e-07 1.359850651e-06 109.3703392    77.29865908    
155      NO_ID      0.7422802423   3.746588834e-09 8.452644867e-19 18370.68308    1.77598546e-10 4.264166566e-31 1.338263905e-07 1.857720564e-06 200.0531559    167.9814758    
