dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
7.99E-05,0.777000899,0.046960441,8.08E-10,40557.23042,1.13E-07,2.29E-09,3.25E-18,5.52E-07,69.82474395,27.19859582,1.095967191
2.52E-05,0.61195863,0.076839428,3.06E-09,6989.944732,1.87E-07,2.56E-09,1.90E-18,8.35E-07,24.04942971,2.154539498,0.066858908
3.49E-05,0.629499709,0.049309775,4.03E-09,6242.488738,3.60E-09,7.52E-10,1.55E-18,3.96E-07,38.91330924,12.42182181,0.47865189
2.94E-05,0.606949203,0.040288948,1.06E-09,17518.44244,1.43E-08,1.70E-09,2.08E-18,9.03E-07,55.89621021,21.17689547,1.491947207
7.35E-05,0.856379915,0.015284295,4.42E-09,45469.85313,1.03E-07,8.94E-10,2.03E-18,6.64E-07,64.07356281,25.49393892,0.567208265
7.83E-05,0.631974217,0.04677215,4.00E-09,15748.10203,3.48E-07,3.53E-10,1.55E-18,3.48E-07,63.06287905,24.94748771,0.548468362
8.08E-05,0.753381922,0.057609733,1.27E-09,6478.580112,1.63E-07,9.84E-10,3.77E-18,2.70E-07,55.33995449,21.23119291,0.514842939
7.52E-05,0.757794216,0.04299798,4.31E-09,41249.02574,1.41E-07,2.50E-09,3.62E-18,3.04E-07,54.38714003,21.07117907,0.489056062
1.15E-05,0.604281028,0.033602077,1.37E-09,39895.66776,1.84E-07,3.59E-10,1.98E-18,6.59E-07,31.45220218,5.076586018,0.826760781
5.21E-05,0.693314825,0.018391724,1.68E-09,20828.58718,3.88E-07,4.39E-10,2.20E-18,5.61E-07,56.99739281,22.10719803,0.438925773
4.27E-05,0.869545467,0.01926211,4.88E-09,16155.28077,3.68E-07,1.42E-09,2.11E-18,4.55E-07,38.82358727,12.49388456,0.262933879
5.15E-05,0.889883857,0.06891993,2.59E-09,36956.38198,3.72E-07,2.79E-09,2.97E-18,6.47E-07,33.82449095,9.223253533,0.233822001
4.51E-05,0.818704261,0.013101538,3.25E-09,20223.96666,8.41E-08,2.52E-09,3.31E-18,5.17E-07,44.86633216,16.05569454,0.311547727
9.48E-05,0.50049131,0.057304192,3.37E-09,38334.29058,1.79E-07,2.13E-09,1.04E-18,4.32E-07,71.4775929,27.38292992,0.818385337
4.36E-05,0.704111076,0.02216938,2.51E-09,37264.77223,8.45E-08,7.79E-10,3.42E-18,9.30E-07,45.54087611,16.37994142,0.321328836
5.37E-05,0.665829531,0.057538363,4.59E-09,12541.455,2.20E-07,4.25E-10,3.02E-18,3.02E-07,44.55147766,15.86942831,0.30942697
