dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,C1,C2,C3,C4,C5,C6,Porosity,Fuel_Swelling
5.44E-05,0.60773204,0.023048452,4.58E-09,13154.79096,6.57E-08,2.36E-09,2.51E-18,4.40E-07,15.44200487,0.035372966,3.47E-08,1.28E-28,0,0,0.224573153,9.466443444
2.48E-05,0.571276637,0.079012553,2.19E-09,13076.70398,2.52E-07,2.57E-09,3.29E-18,7.00E-07,18.01474512,14.53217794,0.238889442,3.79E-06,3.57E-26,0,0.018660194,9.443211099
7.24E-05,0.673762001,0.03394521,2.13E-09,12130.81427,2.63E-07,2.14E-09,1.23E-18,6.70E-07,1.410125239,3.492425057,9.339037067,8.39491644,0.83393358,0.00013734,3.109394956,12.93991081
7.31E-05,0.852475869,0.042097996,9.74E-10,45355.57028,9.74E-08,2.52E-09,1.30E-18,5.99E-07,0.534312589,1.033675824,2.157102371,4.502461283,5.282545632,2.064853853,6.720266447,17.90237819
2.61E-05,0.725173542,0.054441399,2.39E-09,15919.3289,2.95E-08,1.24E-09,2.03E-18,3.18E-07,1.128707752,3.004956953,11.26663361,10.18045851,0.060248856,3.37E-09,2.740354472,12.45852967
8.39E-05,0.873444323,0.022422858,2.59E-09,45071.14816,1.22E-07,2.46E-09,2.19E-18,7.50E-07,0.907654392,3.030277255,12.61493329,5.184561789,0.011173563,7.05E-10,2.142090396,11.70297732
9.83E-05,0.878629487,0.074782214,7.56E-10,26802.13736,4.38E-09,9.19E-10,1.31E-18,7.41E-07,0.503474858,0.909311966,1.571849506,2.778756123,4.107960802,2.825326724,9.414432192,21.63572172
9.23E-05,0.877173991,0.059257609,2.30E-09,24297.07372,7.13E-08,3.87E-10,2.87E-18,9.18E-07,0.351286909,0.876390343,3.040436636,9.271963444,1.91641234,6.39E-05,2.833304685,12.56716766
7.36E-05,0.628178549,0.014565554,2.20E-09,33904.25259,3.69E-07,1.51E-09,1.69E-18,9.45E-07,0.549051778,1.340874148,4.159967266,8.256927167,1.994427139,0.00480786,3.110745532,12.92143948
9.22E-05,0.600869837,0.048032815,4.42E-09,45443.48815,1.43E-07,4.79E-10,1.10E-18,8.03E-07,0.198553884,0.45871031,1.21893201,4.164096102,4.499974977,0.27452571,3.326183514,13.20808041
5.37E-05,0.613439446,0.012152526,7.06E-10,26077.06758,1.74E-08,2.24E-09,2.03E-18,2.66E-07,1.090903492,1.871488156,2.792409432,3.50651381,3.144614512,1.203761052,9.6383915,22.05575678
9.56E-05,0.619256535,0.039356718,4.46E-09,10510.06916,8.70E-08,6.44E-10,3.37E-18,3.86E-07,17.5399992,0.526713385,1.04E-07,3.02E-20,0,0,0.33558459,9.588376286
4.04E-05,0.603419361,0.037377163,1.98E-09,19077.15813,1.80E-07,7.19E-10,1.11E-18,7.74E-07,0.459810506,0.879561399,1.727639634,3.497654608,3.937797942,1.117121786,5.01633366,15.56188532
9.02E-05,0.881696796,0.071574915,1.48E-09,34149.83534,2.84E-07,1.50E-09,2.17E-18,7.07E-07,0.539608376,1.279944711,3.410831488,8.018584554,4.477251526,0.086456751,3.718268891,13.74001377
1.22E-05,0.798201926,0.06662998,2.93E-09,15304.18882,4.00E-07,2.28E-09,3.97E-18,5.34E-07,8.172903849,0.006009821,1.09E-07,2.39E-27,0,0,3.95033E-05,9.222095629
2.69E-05,0.549483963,0.03060252,4.58E-09,36282.24215,5.12E-09,1.03E-09,1.80E-18,5.31E-07,0.678923801,1.87573892,11.54790067,6.050566017,0.000180403,3.41E-07,2.007897327,11.54665169
4.12E-05,0.528993223,0.077860561,2.62E-09,38540.98223,1.57E-07,4.46E-10,1.08E-18,8.00E-07,0.226409542,0.433637841,0.810047002,1.57150124,2.668165172,1.73235972,5.060478606,15.62024069
4.18E-05,0.905493933,0.026124114,1.63E-09,29383.73117,1.19E-07,3.17E-10,2.47E-18,3.83E-07,0.211170075,0.468587335,1.123888292,2.955042308,5.664577576,1.75719546,4.599406077,14.92374866
8.15E-05,0.554610365,0.061173414,3.18E-09,27799.37194,1.30E-07,1.46E-09,2.59E-18,4.88E-07,1.474771599,12.86938824,8.045768036,0.052246572,7.59E-07,3.40E-28,0.793768702,10.16133796
7.50E-05,0.739500669,0.054125173,3.27E-09,25611.10374,3.17E-07,2.65E-09,3.46E-18,5.47E-07,17.46279807,0.516667501,3.93E-05,6.55E-12,1.22E-35,0,0.143533508,9.377603752
7.17E-05,0.834076264,0.072422825,3.70E-09,29271.46813,4.89E-08,1.56E-09,2.27E-18,9.87E-07,1.336142093,11.97165883,10.65186272,0.063298476,1.73E-08,2.74E-31,0.850581343,10.2952263
2.07E-05,0.608991843,0.051908476,1.36E-09,43646.15907,3.35E-07,1.63E-09,3.17E-18,9.89E-07,0.542923466,1.275132475,3.874182485,8.326983107,2.202867775,0.001348138,2.977837342,12.79140345
7.19E-05,0.530663307,0.027004994,4.49E-09,8543.120188,1.13E-07,6.12E-10,1.35E-18,8.24E-07,1.258028758,7.667111945,12.77958492,0.956278548,0.000110229,5.31E-09,1.45138072,10.88617118
6.01E-05,0.890101292,0.075773333,2.24E-09,23860.52855,3.25E-07,4.03E-10,2.38E-18,3.07E-07,0.304836121,0.758359829,2.509940442,7.441340825,2.4308695,0.007305476,2.529989633,12.2150504
2.11E-05,0.86915435,0.037917589,9.35E-10,31782.37243,1.14E-07,1.80E-09,1.93E-18,3.97E-07,0.576596006,1.182915034,2.651949844,5.628591786,5.909392827,1.633969434,5.914135384,16.74854559
1.33E-05,0.858006844,0.019515823,1.26E-09,25767.66248,3.58E-07,9.45E-10,2.74E-18,7.61E-07,0.482857903,1.144989945,3.064097444,7.661221032,4.562411846,0.088701874,3.558075979,13.53995031
2.29E-05,0.516935155,0.058366885,4.05E-09,12878.1268,2.14E-07,1.17E-09,3.24E-18,3.61E-07,11.75622764,0.031578507,2.17E-05,6.31E-07,9.33E-12,2.68E-37,0.000105092,9.225339813
2.06E-05,0.567460005,0.059612148,2.47E-09,27682.36936,2.37E-07,1.59E-09,3.20E-18,8.35E-07,1.801117157,13.29441559,7.316929966,0.049103191,7.62E-08,5.27E-30,0.547815572,10.11586879
